,Peak Energy,Peak Elevation,Peak Azimuth,Azimuthal Ram Angle,Azimuthal Ram Time,Heavy Anion Peak Time,Heavy Anion Azimuth Angle,Flyby,Spacecraft Potential (LP),Instrument,Actuation Direction,Heavy Cation Peak Time,Heavy Cation Azimuth Angle,Azimuthal Angle to Heavy Ion,Azimuthal Angle to Ram,Deflection from Bulk,Bulk Azimuth,Bulk Time,Bulk Deflection from Ram Angle
2007-05-12 20:10:31.288178,7.9725692313544485,,88.3297066187406,88.58498480378108,2007-05-12 20:10:31.544738,,,t30,-0.5825,ibs,positive,2007-05-12 20:10:32.273241,89.30984708493634,-0.9801404661957349,-0.2552781850404813,-1.9708850738211368,90.30059169256174,2007-05-12 20:10:33.268962000,1.7156068887806555
2007-05-12 20:10:31.415030,10.545483185878961,,88.45592474249497,88.57975726569165,2007-05-12 20:10:31.539485,,,t30,-0.5825,ibs,positive,2007-05-12 20:10:32.273241,89.30984708493634,-0.8539223424413649,-0.12383252319668259,-1.8446669500667667,90.30059169256174,2007-05-12 20:10:33.268962000,1.7208344268700841
2007-05-12 20:10:31.505577,12.9859084904994,,88.54601934057428,88.5760263324455,2007-05-12 20:10:31.535735,,,t30,-0.5825,ibs,positive,2007-05-12 20:10:32.273241,89.30984708493634,-0.7638277443620609,-0.030006991871218247,-1.7545723519874628,90.30059169256174,2007-05-12 20:10:33.268962000,1.7245653601162445
2007-05-12 20:10:31.569057,17.815597617956026,,88.60918201578534,88.57341092027217,2007-05-12 20:10:31.533106,,,t30,-0.5825,ibs,positive,2007-05-12 20:10:32.273241,89.30984708493634,-0.7006650691510004,0.03577109551316937,-1.6914096767764022,90.30059169256174,2007-05-12 20:10:33.268962000,1.7271807722895716
2007-05-12 20:10:31.630517,15.234023808156413,,88.67033490265749,88.5708789173581,2007-05-12 20:10:31.530561,,,t30,-0.5825,ibs,positive,2007-05-12 20:10:32.273241,89.30984708493634,-0.6395121822788497,0.09945598529938593,-1.6302567899042515,90.30059169256174,2007-05-12 20:10:33.268962000,1.7297127752036374
2007-05-12 20:10:31.646246,20.14056566430825,,88.68598525160633,88.57023095300408,2007-05-12 20:10:31.529910,,,t30,-0.5825,ibs,positive,2007-05-12 20:10:32.273241,89.30984708493634,-0.623861833330011,0.11575429860224062,-1.6146064409554128,90.30059169256174,2007-05-12 20:10:33.268962000,1.7303607395576535
2007-05-12 20:10:31.815160,37.109141146531975,,88.85405522481051,88.56327320978774,2007-05-12 20:10:31.522918,,,t30,-0.5825,ibs,positive,2007-05-12 20:10:32.273241,89.30984708493634,-0.45579186012582795,0.2907820150227707,-1.4465364677512298,90.30059169256174,2007-05-12 20:10:33.268962000,1.7373184827740005
2007-05-12 20:10:32.136203,395.43931022730635,-3.6529429102840556,89.17349390603522,88.55005298439029,2007-05-12 20:10:31.509631,2007-05-12 20:10:34.264683,91.29133630018714,t30,-0.5816666666666667,els,positive,,,-2.1178423941519213,0.6234409216449279,-1.1270977865265195,90.30059169256174,2007-05-12 20:10:33.268962000,1.7505387081714474
2007-05-12 20:10:34.319830,8.341347896383244,-3.702242086840773,91.34620743922278,88.4602672289198,2007-05-12 20:10:31.419394,2007-05-12 20:10:34.264683,91.29133630018714,t30,-0.58,els,positive,,,0.054871139035640226,2.8859402103029765,1.045615746661042,90.30059169256174,2007-05-12 20:10:33.268962000,1.8403244636419345
2007-05-12 20:10:36.804004,3.6770004213552028,-4.613086780734211,93.82197880744934,88.35840392002775,2007-05-12 20:10:31.317019,2007-05-12 20:10:34.264683,91.29133630018714,t30,-0.5783333333333333,els,positive,,,2.5306425072622005,5.463574887421586,3.5213871148876024,90.30059169256174,2007-05-12 20:10:33.268962000,1.942187772533984
2007-05-12 20:11:20.007756,3.7123536821170116,-15.064429235434032,95.01027989387512,87.3843604173871,2007-05-12 20:11:27.661993,2007-05-12 20:11:24.015070,91.01304348674603,t30,-0.5983333333333333,els,negative,,,3.997236407129094,7.625919476488022,5.721841208887781,89.28843868498734,2007-05-12 20:11:25.748344000,1.9040782676002408
2007-05-12 20:11:22.198548,8.450706534222501,-11.232550974699631,92.8204807625998,87.38410776531268,2007-05-12 20:11:27.662247,2007-05-12 20:11:24.015070,91.01304348674603,t30,-0.6,els,negative,,,1.807437275853772,5.436372997287123,3.5320420776124593,89.28843868498734,2007-05-12 20:11:25.748344000,1.9043309196746634
2007-05-12 20:11:24.059500,164.49103578937653,-12.504295147253142,90.96883583630552,87.3860764379237,2007-05-12 20:11:27.660268,2007-05-12 20:11:24.015070,91.01304348674603,t30,-0.6016666666666667,els,negative,,,-0.044207650440512225,3.5827593983818105,1.680397151318175,89.28843868498734,2007-05-12 20:11:25.748344000,1.9023622470636354
2007-05-12 20:11:25.427119,5.914067430385048,,89.60806157169282,87.38973682964281,2007-05-12 20:11:27.656589,,,t30,-0.6025,ibs,negative,2007-05-12 20:11:27.481618,87.56383388322865,2.0442276884641615,2.218324742050001,0.31962288670547423,89.28843868498734,2007-05-12 20:11:25.748344000,1.8987018553445267
2007-05-12 20:11:25.542017,8.040956617506696,,89.49373865616508,87.39025924290037,2007-05-12 20:11:27.656064,,,t30,-0.6025,ibs,negative,2007-05-12 20:11:27.481618,87.56383388322865,1.9299047729364247,2.103479413264708,0.20529997117773746,89.28843868498734,2007-05-12 20:11:25.748344000,1.8981794420869704
2007-05-12 20:11:25.591454,10.574388402971014,,89.44454903673613,87.39048640970465,2007-05-12 20:11:27.655836,,,t30,-0.6025,ibs,negative,2007-05-12 20:11:27.481618,87.56383388322865,1.8807151535074809,2.0540626270314846,0.15611035174879362,89.28843868498734,2007-05-12 20:11:25.748344000,1.897952275282691
2007-05-12 20:11:25.686328,13.08573116774776,,89.35014996433165,87.39092638757315,2007-05-12 20:11:27.655394,,,t30,-0.6025,ibs,negative,2007-05-12 20:11:27.481618,87.56383388322865,1.7863160811029957,1.9592235767585038,0.06171127934430842,89.28843868498734,2007-05-12 20:11:25.748344000,1.8975122974141954
2007-05-12 20:11:25.793704,17.859987576790346,,89.24331127048936,87.39143073180222,2007-05-12 20:11:27.654887,,,t30,-0.6025,ibs,negative,2007-05-12 20:11:27.481618,87.56383388322865,1.6794773872607038,1.8518805386871406,-0.04512741449798341,89.28843868498734,2007-05-12 20:11:25.748344000,1.897007953185124
2007-05-12 20:11:25.801496,15.374341210865323,,89.23555827251403,87.39146759513405,2007-05-12 20:11:27.654850,,,t30,-0.6025,ibs,negative,2007-05-12 20:11:27.481618,87.56383388322865,1.671724389285373,1.844090677379981,-0.05288041247331421,89.28843868498734,2007-05-12 20:11:25.748344000,1.8969710898532952
2007-05-12 20:11:25.859141,20.21625555396101,,89.17820169692277,87.39174141619554,2007-05-12 20:11:27.654575,,,t30,-0.6025,ibs,negative,2007-05-12 20:11:27.481618,87.56383388322865,1.6143678136941162,1.7864602807272263,-0.11023698806457105,89.28843868498734,2007-05-12 20:11:25.748344000,1.8966972687917973
2007-05-12 20:11:26.097908,37.29091386034113,,88.9406290416955,87.39289642468458,2007-05-12 20:11:27.653414,,,t30,-0.6033333333333333,ibs,negative,2007-05-12 20:11:27.481618,87.56383388322865,1.376795158466848,1.5477326170109222,-0.34780964329183917,89.28843868498734,2007-05-12 20:11:25.748344000,1.8955422603027614
2007-06-13 17:44:16.571283,6.0272728990332,,84.93636670711567,90.01248556106947,2007-06-13 17:44:21.672949,,,t32,-0.785,ibs,positive,2007-06-13 17:44:18.844007,87.19771268382647,-2.2613459767107997,-5.076118853953801,-3.711276650016316,88.64764335713198,2007-06-13 17:44:20.301236500,-1.364842203937485
2007-06-13 17:44:17.089392,8.076036776225608,,85.45188247782062,90.01246211255078,2007-06-13 17:44:21.672926,,,t32,-0.7837500000000001,ibs,positive,2007-06-13 17:44:19.014075,87.3669288901192,-1.9150464122985795,-4.560579634730161,-3.195760879311365,88.64764335713198,2007-06-13 17:44:20.301236500,-1.3648187554187956
2007-06-13 17:44:17.126704,10.63580252329619,,85.48900776627124,90.0124603642305,2007-06-13 17:44:21.672924,,,t32,-0.7837500000000001,ibs,positive,2007-06-13 17:44:19.014075,87.3669288901192,-1.8779211238479547,-4.523452597959263,-3.15863559086074,88.64764335713198,2007-06-13 17:44:20.301236500,-1.364817007098523
2007-06-13 17:44:17.346892,13.09261469936175,,85.70809389129863,90.0124498891019,2007-06-13 17:44:21.672913,,,t32,-0.7837500000000001,ibs,positive,2007-06-13 17:44:19.014075,87.3669288901192,-1.6588349988205664,-4.30435599780327,-2.939549465833352,88.64764335713198,2007-06-13 17:44:20.301236500,-1.3648065319699185
2007-06-13 17:44:17.643855,15.27291211349551,,86.00357060285751,90.01243532427814,2007-06-13 17:44:21.672899,,,t32,-0.7837500000000001,ibs,positive,2007-06-13 17:44:19.014075,87.3669288901192,-1.3633582872616898,-4.008864721420636,-2.6440727542744753,88.64764335713198,2007-06-13 17:44:20.301236500,-1.3647919671461608
2007-06-13 17:44:17.713457,17.867882706833097,,86.07282426557504,90.01243183780073,2007-06-13 17:44:21.672895,,,t32,-0.7837500000000001,ibs,positive,2007-06-13 17:44:19.014075,87.3669288901192,-1.2941046245441612,-3.9396075722256967,-2.5748190915569467,88.64764335713198,2007-06-13 17:44:20.301236500,-1.36478848066875
2007-06-13 17:44:17.824652,20.17590514532614,,86.18346259740065,90.01242621182675,2007-06-13 17:44:21.672889,,,t32,-0.7837500000000001,ibs,positive,2007-06-13 17:44:19.014075,87.3669288901192,-1.183466292718549,-3.828963614426101,-2.4641807597313345,88.64764335713198,2007-06-13 17:44:20.301236500,-1.3647828546947665
