Peak Time,Peak Energy,Peak Elevation,Peak Azimuth,Azimuthal Ram Angle,Heavy Anion Azimuth Angle,Flyby,Spacecraft Potential (LP),Instrument,Actuation Direction,Heavy Cation Azimuth Angle,Heavy Anion Azimuthal Deflection,Heavy Cation Azimuthal Deflection,Azimuthal Angle to Ram,Abs Azimuthal Angle to Ram,Deflection from Bulk,Bulk Deflection from Ram
40:03.1,7.315191595,-1.133841267,95.96125097,90.00369601,95.03477478,t21,-0.788085115,els,negative,,0.926476189,,5.957554958,5.957554958,0.550318834,0.376157355
40:05.7,5.652872221,,94.30307262,90.0036947,,t21,-0.780851072,ibs,negative,89.05478668,,5.248285939,4.29937792,4.29937792,4.872128584,0.376157355
40:05.9,25.52279865,-0.596855984,94.17685097,90.00369517,95.03477478,t21,-0.780851072,els,negative,,-0.857923811,,4.173155799,4.173155799,-1.234081166,0.376157355
40:07.1,7.318115293,,92.90531524,90.00369868,,t21,-0.77361703,ibs,negative,89.05478668,,3.850528563,2.901616564,2.901616564,3.474371208,0.376157355
40:08.5,9.776763852,,91.5222894,90.00368677,,t21,-0.770000009,ibs,negative,89.05478668,,2.467502717,1.518602632,1.518602632,2.091345362,0.376157355
40:08.9,11.9609349,,91.11608028,90.00368435,,t21,-0.770000009,ibs,negative,89.05478668,,2.061293598,1.112395932,1.112395932,1.685136243,0.376157355
40:09.1,13.96757409,,90.91386152,90.00368333,,t21,-0.768750009,ibs,negative,89.05478668,,1.859074842,0.910178197,0.910178197,1.482917487,0.376157355
40:09.4,16.31957539,,90.6650252,90.00368224,,t21,-0.768750009,ibs,negative,89.05478668,,1.610238521,0.661342967,0.661342967,1.234081166,0.376157355
41:00.9,99.42063319,-1.363840137,90.91921824,90.00345316,91.04486084,t21,-0.705000005,els,positive,,-0.125642603,,0.915765074,0.915765074,0.164420949,-0.290063552
41:00.9,26.92921375,-0.866131449,90.97491729,90.00345285,91.04486084,t21,-0.705000005,els,positive,,-0.069943545,,0.97146445,0.97146445,0.220120008,-0.290063552
41:01.6,7.23146542,,91.59683075,90.00344585,,t21,-0.703750006,ibs,positive,93.03486633,,-1.438035582,1.5933849,1.5933849,-1.14797203,-0.290063552
41:02.4,7.581070607,-0.667228006,92.47824677,90.00343665,91.04486084,t21,-0.702500006,els,positive,,1.43338593,,2.474810117,2.474810117,1.723449483,-0.290063552
41:02.5,16.28279051,,92.58038183,90.00343564,,t21,-0.702500006,ibs,positive,93.03486633,,-0.454484501,2.576946191,2.576946191,-0.164420949,-0.290063552
41:02.6,13.98052024,,92.6552111,90.00343491,,t21,-0.702500006,ibs,positive,93.03486633,,-0.379655233,2.651776194,2.651776194,-0.08959168,-0.290063552
41:02.6,11.88815375,,92.66628059,90.0034348,,t21,-0.702500006,ibs,positive,93.03486633,,-0.36858574,2.662845795,2.662845795,-0.078522187,-0.290063552
41:02.6,9.703502547,,92.67443955,90.00343472,,t21,-0.702500006,ibs,positive,93.03486633,,-0.360426787,2.671004828,2.671004828,-0.070363234,-0.290063552
41:03.3,3.098723255,-1.44837703,93.30405235,90.0034288,91.04486084,t21,-0.701250007,els,positive,,2.259191513,,3.300623554,3.300623554,2.549255065,-0.290063552
41:45.0,3.241381505,-1.595400418,97.11298698,90.00220048,94.034935,t21,-0.660000004,els,negative,,3.078051983,,7.110786504,7.110786504,3.47571908,-0.397667098
41:47.8,7.295412803,-1.306022314,94.64177799,90.00173641,94.034935,t21,-0.65914894,els,negative,,0.606842995,,4.640041578,4.640041578,1.004510092,-0.397667098
41:49.1,24.57817154,-1.852579927,93.91650621,90.00150074,94.034935,t21,-0.658297876,els,negative,,-0.118428791,,3.915005469,3.915005469,0.279238307,-0.397667098
41:49.3,98.84479679,-2.612387281,93.72577181,90.00145272,94.034935,t21,-0.658297876,els,negative,,-0.309163188,,3.724319092,3.724319092,0.088503909,-0.397667098
41:53.0,5.59178826,,90.04601979,90.00055842,,t21,-0.656595748,ibs,negative,90.0549469,,-0.008927107,0.045461374,0.045461374,0.388739991,-0.397667098
41:53.1,7.222777848,,89.95471883,90.00053711,,t21,-0.656595748,ibs,negative,90.0549469,,-0.100228071,-0.045818282,0.045818282,0.297439027,-0.397667098
41:53.2,9.714990149,,89.89134789,90.00052234,,t21,-0.656595748,ibs,negative,90.0549469,,-0.163599014,-0.109174456,0.109174456,0.234068084,-0.397667098
41:53.3,13.92198219,,89.75602388,90.00049086,,t21,-0.656595748,ibs,negative,90.0549469,,-0.298923016,-0.244466979,0.244466979,0.098744082,-0.397667098
41:53.3,11.87261456,,89.748909,90.00048921,,t21,-0.656595748,ibs,negative,90.0549469,,-0.306037903,-0.251580214,0.251580214,0.091629195,-0.397667098
41:53.5,16.15848919,,89.56877589,90.00044744,,t21,-0.656595748,ibs,negative,90.0549469,,-0.486171007,-0.431671548,0.431671548,-0.088503909,-0.397667098
42:42.8,21.8856206,-9.968227823,89.84214249,89.90512678,90.05502319,t21,-0.64,els,positive,,-0.212880708,,-0.062984294,0.062984294,0.083204632,-0.29608534
42:42.9,98.27236362,-8.275748097,89.92919469,89.90510637,90.05502319,t21,-0.64,els,positive,,-0.125828508,,0.024088311,0.024088311,0.170256832,-0.29608534
42:43.7,7.479488439,-5.476975628,90.74543313,89.90492061,90.05502319,t21,-0.64,els,positive,,0.69040994,,0.840512527,0.840512527,0.98649528,-0.29608534
42:44.1,5.671386883,,91.19723808,89.90482266,,t21,-0.64,ibs,positive,92.04502106,,-0.847782975,1.292415425,1.292415425,-0.551697635,-0.29608534
42:44.3,7.299247876,,91.30511292,89.90479979,,t21,-0.64,ibs,positive,92.04502106,,-0.739908142,1.400313123,1.400313123,-0.443822802,-0.29608534
42:44.5,16.36053171,,91.57867888,89.90474271,,t21,-0.64,ibs,positive,92.04502106,,-0.466342173,1.673936171,1.673936171,-0.170256832,-0.29608534
42:44.5,11.89265057,,91.59003989,89.90474037,,t21,-0.64,ibs,positive,92.04502106,,-0.454981171,1.685299515,1.685299515,-0.158895831,-0.29608534
42:44.6,9.74028078,,91.63505356,89.90473111,,t21,-0.64,ibs,positive,92.04502106,,-0.409967494,1.730322451,1.730322451,-0.113882154,-0.29608534
42:44.8,3.233508124,-10.17853467,91.80749402,89.90469597,90.05502319,t21,-0.64,els,positive,,1.752470829,,1.902798056,1.902798056,2.04855617,-0.29608534
10:13.4,5.810177112,,89.40113638,90.13090858,,t25,-0.759166667,ibs,positive,90.02946472,,-0.628328346,-0.729772207,0.729772207,,
10:13.5,7.968755189,,89.50610417,90.13090866,,t25,-0.759166667,ibs,positive,90.02946472,,-0.523360555,-0.624804489,0.624804489,,
10:13.7,10.3855587,,89.74219452,90.13090757,,t25,-0.759166667,ibs,positive,90.02946472,,-0.287270206,-0.388713057,0.388713057,,
10:13.9,12.84620114,,89.9506396,90.13090518,,t25,-0.759166667,ibs,positive,90.02946472,,-0.078825123,-0.180265581,0.180265581,,
10:14.1,15.01462529,,90.11527286,90.13090234,,t25,-0.755625,ibs,positive,90.02946472,,0.085808141,-0.015629476,0.015629476,,
10:14.2,17.57704378,,90.2277171,90.13089992,,t25,-0.755625,ibs,positive,90.02946472,,0.198252382,0.096817188,0.096817188,,
10:14.2,19.77669708,,90.2529761,90.13089932,,t25,-0.755625,ibs,positive,90.02946472,,0.223511379,0.122076783,0.122076783,,
10:14.3,21.28136391,,90.33177845,90.13089732,,t25,-0.755625,ibs,positive,90.02946472,,0.302313728,0.200881125,0.200881125,,
10:17.4,8.217733809,10.70624088,93.46232128,90.13066299,89.03446198,t25,-0.745,els,positive,,4.427859306,,3.331658296,3.331658296,,
10:28.4,3.627481782,13.17567172,101.7707602,90.12991081,89.03446198,t25,-0.706041667,els,positive,,12.7362982,,11.64084936,11.64084936,,
10:51.6,3.695045306,9.366647521,101.781346,90.12817981,91.02449799,t25,-0.664166667,els,negative,,10.75684798,,11.65316615,11.65316615,7.682033005,3.074814972
10:59.4,8.500855067,9.311758058,96.67485733,90.12731947,91.02449799,t25,-0.6675,els,negative,,5.650359348,,6.547537866,6.547537866,2.575544375,3.074814972
11:08.8,5.85047765,,87.24597472,90.12604663,,t25,-0.6625,ibs,negative,86.0494957,,1.196479027,-2.880071907,2.880071907,-1.878335946,3.074814972
11:09.3,12.89680073,,86.72600631,90.12598064,,t25,-0.66,ibs,negative,86.0494957,,0.676510617,-3.399974328,3.399974328,-2.398304355,3.074814972
11:09.3,17.72593672,,86.72164823,90.12598007,,t25,-0.66,ibs,negative,86.0494957,,0.672152534,-3.404331834,3.404331834,-2.402662438,3.074814972
11:09.3,15.05405223,,86.6963834,90.12597672,,t25,-0.66,ibs,negative,86.0494957,,0.646887704,-3.429593316,3.429593316,-2.427927269,3.074814972
11:09.4,19.86130111,,86.6510025,90.12597067,,t25,-0.66,ibs,negative,86.0494957,,0.6015068,-3.474968171,3.474968171,-2.473308173,3.074814972
11:09.4,10.46082546,,86.62522289,90.12596721,,t25,-0.66,ibs,negative,86.0494957,,0.575727188,-3.500744328,3.500744328,-2.499087784,3.074814972
11:09.4,7.91671248,,86.6014744,90.12596402,,t25,-0.66,ibs,negative,86.0494957,,0.551978707,-3.524489614,3.524489614,-2.522836265,3.074814972
11:09.5,23.01429499,,86.54876629,90.12595689,,t25,-0.66,ibs,negative,86.0494957,,0.499270597,-3.577190593,3.577190593,-2.575544375,3.074814972
11:54.3,5.982375354,,88.31207412,90.11884258,,t25,-0.573541719,ibs,positive,90.02952957,,-1.717455449,-1.806768457,1.806768457,,
11:55.0,7.987469576,,89.07743799,90.11872309,,t25,-0.572083388,ibs,positive,90.02952957,,-0.952091586,-1.041285101,1.041285101,,
11:55.7,10.67573884,,89.73084182,90.11863586,,t25,-0.572083388,ibs,positive,90.02952957,,-0.298687753,-0.387794042,0.387794042,,
11:55.8,13.13848189,,89.87180331,90.11861879,,t25,-0.572083388,ibs,positive,90.02952957,,-0.157726265,-0.246815486,0.246815486,,
11:56.0,15.37220245,,90.02568081,90.11859999,,t25,-0.572083388,ibs,positive,90.02952957,,-0.003848758,-0.092919181,0.092919181,,
11:56.2,18.16086542,,90.20700658,90.11857762,,t25,-0.570625056,ibs,positive,90.02952957,,0.17747701,0.088428958,0.088428958,,
11:56.2,20.30347618,,90.25962004,90.11857109,,t25,-0.570625056,ibs,positive,90.02952957,,0.230090467,0.14104895,0.14104895,,
11:56.5,26.21388474,,90.48939428,90.11854231,,t25,-0.570625056,ibs,positive,90.02952957,,0.45986471,0.370851973,0.370851973,,
